value,probability,distribution_name
3,0.00462963,3d6_theoretical
4,0.0138889,3d6_theoretical
5,0.0277778,3d6_theoretical
6,0.0462963,3d6_theoretical
7,0.0694444,3d6_theoretical
8,0.0972222,3d6_theoretical
9,0.115741,3d6_theoretical
10,0.125,3d6_theoretical
11,0.125,3d6_theoretical
12,0.115741,3d6_theoretical
13,0.0972222,3d6_theoretical
14,0.0694444,3d6_theoretical
15,0.0462963,3d6_theoretical
16,0.0277778,3d6_theoretical
17,0.0138889,3d6_theoretical
18,0.00462963,3d6_theoretical
