value,probability,distribution_name
3,0.01462,ThreeDicePool_3d6
4,0.01414,ThreeDicePool_3d6
5,0.01442,ThreeDicePool_3d6
6,0.05506,ThreeDicePool_3d6
7,0.04104,ThreeDicePool_3d6
8,0.0843,ThreeDicePool_3d6
9,0.18126,ThreeDicePool_3d6
10,0.0961,ThreeDicePool_3d6
11,0.09678,ThreeDicePool_3d6
12,0.1786,ThreeDicePool_3d6
13,0.08504,ThreeDicePool_3d6
14,0.03974,ThreeDicePool_3d6
15,0.05436,ThreeDicePool_3d6
16,0.01374,ThreeDicePool_3d6
17,0.01316,ThreeDicePool_3d6
18,0.01448,ThreeDicePool_3d6
